p,r,euclidean_distance_1_2,euclidean_distance_1_3,euclidean_distance_1_4,euclidean_distance_2_3,euclidean_distance_2_4,euclidean_distance_3_4
4.0,1.0,0.08618171373774855,0.18019591179612027,0.06356827318791815,0.10417751183466659,0.1270431034632947,0.22372097297181195
4.0,2.0,0.130090182263937,0.21407598780979598,0.06260561494476383,0.08893761195803969,0.16039554397744948,0.23937258959742796
4.0,3.0,0.1105575117953899,0.10097193985223009,0.05460549356918254,0.017788535035731478,0.10962439858436664,0.09576884620511701
4.0,4.0,0.09773406400548158,0.07859188656489104,0.056390203863172304,0.02552289678957896,0.07588955883141786,0.05265981869744664
4.0,5.0,0.08950701500630885,0.10788189185566899,0.05808309291511909,0.027448487640802374,0.055332289692022356,0.06525227148980653
4.0,6.0,0.08197020916289013,0.06055029063434854,0.05742198171046131,0.02718069536560019,0.04319444932334334,0.022706978344105094
4.0,7.0,0.07357724144783165,0.05860863685241605,0.05473954149200986,0.038959548182224774,0.035808210695278175,0.026792282309229264
4.0,8.0,0.0669137625129431,0.06041765917326408,0.05240290829691729,0.028988837552634556,0.030841680419043237,0.026275939917481596
4.0,9.0,0.060730044685981574,0.04991136986468825,0.05013738043938791,0.02612554012415,0.02722014756445602,0.023585000050829672
4.0,10.0,0.05485930846316397,0.04535309638085507,0.04533700344691095,0.035641241819979234,0.02334302248117926,0.030173802523102405
4.0,11.0,0.052010784776000095,0.039946134236129784,0.04078075023825393,0.03248194360137217,0.02194136669939092,0.027151769088018293
4.0,12.0,0.05017770276718819,0.04513997151849871,0.03837005579008237,0.030922142628606205,0.021528810368768164,0.025891637144854558
4.0,13.0,0.04807275288669714,0.03308268266803474,0.036886320099685684,0.029431617350249187,0.020295832861421007,0.021926311785533302
4.0,14.0,0.04484933978225942,0.03858672464430578,0.03476367880364495,0.03253543244119384,0.019239498931330756,0.027630361320318198
4.0,15.0,0.04100603640112261,0.03556835185997647,0.033523376822027766,0.02746593952153085,0.018105983074839526,0.02521234228352884
